CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.05372,0.0,13.92,RIVER,,,51.0,5.9604,4.0,289,16.0,,7.39,27.1
0.14103,0.0,13.92,OTHER,0.437,,,6.32,4.0,289,16.0,,15.84,20.3
0.06466,70.0,2.24,RIVER,,,,7.8278,5.0,358,,,4.97,22.5
0.05561,70.0,2.24,OTHER,0.4,7.041,,7.8278,5.0,358,14.8,371.58,4.74,29.0
0.04417,70.0,2.24,OTHER,0.4,,,7.8278,5.0,,14.8,390.86,6.07,24.8
0.03537,34.0,6.09,OTHER,0.433,6.59,40.4,5.4917,,329,16.1,395.75,9.5,22.0
0.09266,34.0,6.09,OTHER,0.433,,18.4,5.4917,7.0,329,16.1,383.61,8.67,26.4
0.1,34.0,6.09,OTHER,,6.982,17.7,5.4917,7.0,,16.1,,4.86,33.1
0.05515,33.0,2.18,OTHER,0.472,7.236,41.1,4.022,7.0,222,18.4,393.68,,36.1
0.05479,33.0,2.18,RIVER,0.472,6.616,58.1,3.37,7.0,222,18.4,393.36,8.93,28.4
0.07503,33.0,2.18,OTHER,0.472,7.42,,,,222,18.4,396.9,6.47,33.4
0.04932,33.0,2.18,OTHER,0.472,6.849,70.3,,,,,396.9,,28.2
0.49298,0.0,9.9,OTHER,0.544,,,,4.0,,18.4,,4.54,22.8
0.3494,0.0,9.9,OTHER,0.544,,76.7,3.1025,,304,18.4,396.24,,20.3
2.63548,0.0,9.9,OTHER,0.544,4.973,37.8,,,304,,350.45,12.64,16.1
0.79041,0.0,9.9,OTHER,0.544,6.122,,,,304,,,5.98,22.1
0.26169,0.0,9.9,OTHER,,6.023,90.4,2.834,4.0,304,18.4,396.3,11.72,19.4
0.26938,0.0,9.9,OTHER,,,,3.2628,4.0,304,18.4,393.39,7.9,21.6
0.3692,0.0,9.9,RIVER,0.544,,,3.6023,4.0,304,18.4,395.69,,23.8
0.25356,0.0,9.9,OTHER,0.544,,77.7,,4.0,,18.4,396.42,11.5,16.2
0.31827,0.0,9.9,RIVER,,,83.2,3.9986,4.0,304,,390.7,,17.8
0.24522,0.0,9.9,OTHER,0.544,,,4.0317,4.0,304,,396.9,15.94,19.8
0.40202,0.0,9.9,OTHER,0.544,6.382,67.2,,4.0,304,,,,23.1
0.47547,0.0,9.9,OTHER,,6.113,58.8,4.0019,4.0,304,18.4,396.23,12.73,21.0
0.1676,0.0,7.38,OTHER,,,52.3,4.5404,5.0,287,19.6,396.9,,23.8
0.18159,0.0,7.38,OTHER,,,,4.5404,5.0,287,19.6,,6.87,23.1
0.35114,0.0,7.38,OTHER,0.493,6.041,49.9,4.7211,5.0,287,,,,20.4
,,7.38,OTHER,0.493,5.708,74.3,4.7211,,287,19.6,391.13,11.74,18.5
0.34109,0.0,7.38,OTHER,0.493,6.415,40.1,4.7211,5.0,287,,,6.12,25.0
0.19186,0.0,7.38,OTHER,0.493,,14.7,5.4159,5.0,287,,393.68,,24.6
0.30347,0.0,7.38,OTHER,0.493,6.312,28.9,,5.0,287,19.6,396.9,,23.0
0.24103,0.0,7.38,OTHER,,6.083,43.7,5.4159,,,,396.9,12.79,22.2
0.06617,0.0,3.24,RIVER,0.46,5.868,25.8,5.2146,4.0,,,382.44,9.97,19.3
0.06724,0.0,3.24,OTHER,0.46,,17.2,,,,16.9,,,22.6
0.04544,0.0,3.24,OTHER,0.46,,32.2,5.8736,4.0,,16.9,,,19.8
0.05023,35.0,6.06,OTHER,0.4379,5.706,,,1.0,,16.9,394.02,12.43,17.1
0.03466,35.0,6.06,OTHER,,6.031,23.3,,1.0,304,16.9,362.25,,19.4
0.05083,0.0,5.19,OTHER,,6.316,38.1,6.4584,5.0,,20.2,389.71,,22.2
0.03738,0.0,5.19,OTHER,0.515,6.31,,6.4584,,224,20.2,,,20.7
0.03961,0.0,5.19,OTHER,,6.037,,5.9853,,224,20.2,,8.01,21.1
0.03427,0.0,5.19,RIVER,0.515,,,5.2311,,224,20.2,396.9,9.8,19.5
0.03041,0.0,5.19,OTHER,0.515,5.895,59.6,,5.0,224,20.2,394.81,,18.5
0.03306,0.0,5.19,RIVER,0.515,6.059,,4.8122,,,,,8.51,20.6
0.05497,0.0,5.19,OTHER,0.515,5.985,45.4,,5.0,224,,,,19.0
,0.0,5.19,RIVER,0.515,5.968,,4.8122,,224,20.2,396.9,9.29,18.7
,35.0,1.52,OTHER,0.442,7.241,,7.0379,,,15.5,,5.49,32.7
,0.0,1.89,OTHER,,6.54,59.7,6.2669,1.0,422,,389.96,,16.5
0.02543,,3.78,OTHER,,6.696,56.4,5.7321,,370,17.6,,7.18,23.9
0.03049,55.0,3.78,RIVER,0.484,,,6.4654,,370,17.6,387.97,4.61,31.2
0.03113,0.0,4.39,RIVER,,6.014,,8.0136,3.0,352,18.8,385.64,10.53,17.5
0.06162,0.0,4.39,OTHER,0.442,5.898,52.3,,3.0,,18.8,364.61,,17.2
0.0187,85.0,4.15,OTHER,0.429,6.516,27.7,,,351,17.9,392.43,6.36,23.1
0.01501,80.0,2.01,OTHER,,,29.7,8.344,4.0,280,17.0,390.94,5.99,24.5
0.02899,40.0,1.25,OTHER,0.429,6.939,34.5,8.7921,1.0,335,19.7,389.85,5.89,26.6
0.06211,40.0,1.25,OTHER,,6.49,,8.7921,,335,19.7,396.9,,22.9
0.0795,60.0,1.69,OTHER,,6.579,35.9,10.7103,4.0,411,18.3,370.78,5.49,24.1
0.07244,,1.69,OTHER,,5.884,18.5,,4.0,411,18.3,392.33,7.79,18.6
0.01709,90.0,2.02,RIVER,0.41,,,12.1265,,,,384.46,,30.1
0.04301,80.0,1.91,RIVER,,5.663,21.9,,,334,22.0,,8.05,18.2
0.10659,80.0,1.91,OTHER,,5.936,19.5,10.5857,4.0,334,22.0,376.04,,20.6
8.98296,0.0,18.1,OTHER,,6.212,97.4,2.1222,,666,20.2,377.73,,17.8
3.8497,0.0,18.1,OTHER,0.77,,,,24.0,666,20.2,,13.27,21.7
5.20177,,18.1,OTHER,0.77,6.127,,2.7227,24.0,666,,395.43,11.48,22.7
4.26131,0.0,18.1,RIVER,0.77,6.112,81.3,2.5091,24.0,,20.2,390.74,,22.6
4.54192,0.0,18.1,OTHER,,6.398,88.0,,,,20.2,,7.79,25.0
3.83684,0.0,18.1,OTHER,,,,2.2955,24.0,666,20.2,350.65,14.19,19.9
3.67822,0.0,18.1,RIVER,,5.362,96.2,2.1036,24.0,,20.2,380.79,10.19,20.8
4.22239,0.0,18.1,OTHER,0.77,,89.0,,,666,20.2,353.04,,16.8
3.47428,0.0,18.1,OTHER,,,82.9,,24.0,666,20.2,354.55,5.29,21.9
4.55587,,18.1,RIVER,0.718,3.561,87.9,1.6132,,,,354.7,7.12,27.5
3.69695,0.0,18.1,OTHER,0.718,4.963,91.4,,,,20.2,,,21.9
13.5222,0.0,18.1,RIVER,0.631,3.863,100.0,,24.0,666,20.2,131.42,13.33,23.1
4.89822,0.0,18.1,OTHER,,,,1.3325,,666,20.2,375.52,,50.0
5.66998,0.0,18.1,OTHER,,6.683,,,24.0,666,20.2,375.33,,50.0
6.53876,0.0,18.1,RIVER,,,,1.2024,24.0,666,20.2,392.05,2.96,50.0
9.2323,0.0,18.1,OTHER,0.631,,,1.1691,24.0,,,366.15,9.53,50.0
8.26725,0.0,18.1,OTHER,0.668,,,1.1296,,,20.2,,,50.0
11.1081,0.0,18.1,OTHER,0.668,,100.0,1.1742,24.0,666,,396.9,34.77,13.8
18.4982,0.0,18.1,OTHER,0.668,,,,24.0,666,20.2,396.9,37.97,13.8
19.6091,0.0,18.1,OTHER,0.671,7.313,,1.3163,24.0,666,20.2,,13.44,15.0
15.288,0.0,18.1,OTHER,0.671,6.649,93.3,1.3449,24.0,,20.2,,23.24,13.9
9.82349,0.0,18.1,OTHER,,6.794,,1.358,,666,,396.9,21.24,13.3
23.6482,0.0,18.1,OTHER,0.671,6.38,96.2,1.3861,24.0,666,,396.9,,13.1
17.8667,0.0,18.1,OTHER,,6.223,100.0,1.3861,24.0,666,20.2,393.74,21.78,10.2
88.9762,0.0,18.1,OTHER,,,91.9,1.4165,,,,396.9,,10.4
15.8744,,18.1,OTHER,,,99.1,1.5192,,,20.2,396.9,,10.9
9.18702,0.0,18.1,OTHER,,5.536,100.0,1.5804,24.0,666,20.2,396.9,23.6,11.3
7.99248,0.0,18.1,OTHER,0.7,,100.0,,24.0,666,20.2,396.9,24.56,12.3
20.0849,0.0,18.1,OTHER,0.7,4.368,,1.4395,24.0,666,,,,8.8
16.8118,0.0,18.1,RIVER,0.7,,98.1,1.4261,24.0,,20.2,,,7.2
,0.0,18.1,OTHER,0.7,,100.0,1.4672,24.0,666,20.2,,,10.5
22.5971,,18.1,OTHER,,,89.5,,24.0,666,20.2,396.9,31.99,7.4
14.3337,0.0,18.1,OTHER,0.7,,100.0,1.5895,,666,20.2,372.92,,10.2
8.15174,0.0,18.1,RIVER,,,,1.7281,24.0,666,20.2,396.9,20.85,11.5
6.96215,0.0,18.1,RIVER,0.7,5.713,97.0,1.9265,24.0,,20.2,394.43,17.11,15.1
5.29305,0.0,18.1,OTHER,0.7,,,,,,20.2,378.38,,23.2
11.5779,0.0,18.1,OTHER,,,97.0,1.77,24.0,666,,396.9,,9.7
8.64476,0.0,18.1,RIVER,0.693,6.193,,,24.0,,20.2,396.9,,13.8
13.3598,0.0,18.1,OTHER,0.693,5.887,94.7,1.7821,,666,20.2,,,12.7
8.71675,0.0,18.1,OTHER,0.693,,98.8,1.7257,,,,391.98,17.12,13.1
5.87205,0.0,18.1,OTHER,,,96.0,,24.0,666,20.2,396.9,19.37,12.5
7.67202,0.0,18.1,OTHER,0.693,,98.9,,24.0,666,20.2,,19.92,8.5
38.3518,0.0,18.1,OTHER,0.693,5.453,,1.4896,24.0,,20.2,,,5.0
,0.0,18.1,OTHER,0.693,5.852,,,24.0,666,,338.16,,6.3
,0.0,18.1,RIVER,,5.987,100.0,1.5888,24.0,,20.2,,26.77,5.6
14.2362,0.0,18.1,RIVER,0.693,6.343,,,24.0,,20.2,396.9,,7.2
9.59571,0.0,18.1,RIVER,0.693,6.404,100.0,1.639,24.0,666,20.2,376.11,20.31,12.1
24.8017,0.0,18.1,OTHER,0.693,5.349,96.0,1.7028,24.0,666,,396.9,,8.3
41.5292,0.0,18.1,RIVER,0.693,5.531,,1.6074,24.0,666,20.2,329.46,27.38,8.5
67.9208,0.0,18.1,RIVER,0.693,5.683,100.0,,24.0,666,20.2,384.97,22.98,5.0
20.7162,0.0,18.1,OTHER,0.659,4.138,100.0,1.1781,24.0,,,370.22,23.34,11.9
11.9511,0.0,18.1,RIVER,,5.608,100.0,1.2852,,,20.2,332.09,12.13,27.9
7.40389,0.0,18.1,OTHER,,,97.9,1.4547,24.0,,20.2,314.64,26.4,17.2
,0.0,18.1,OTHER,0.597,6.852,,1.4655,,666,20.2,,,27.5
51.1358,0.0,18.1,OTHER,0.597,5.757,,1.413,,666,,2.6,10.11,15.0
14.0507,0.0,18.1,OTHER,0.597,,100.0,,24.0,,20.2,35.05,21.22,17.2
18.811,0.0,18.1,RIVER,,4.628,,1.5539,24.0,,20.2,,34.37,17.9
28.6558,0.0,18.1,OTHER,0.597,,100.0,1.5894,24.0,,20.2,210.97,,16.3
,0.0,18.1,OTHER,,,100.0,1.6582,24.0,666,20.2,,36.98,7.0
18.0846,0.0,18.1,OTHER,0.679,6.434,100.0,1.8347,24.0,666,20.2,27.25,,7.2
10.8342,0.0,18.1,OTHER,0.679,,,,24.0,666,,21.57,,7.5
25.9406,0.0,18.1,OTHER,,5.304,,1.6475,24.0,666,,127.36,26.64,10.4
73.5341,0.0,18.1,RIVER,0.679,,100.0,1.8026,,666,20.2,16.45,,8.8
11.8123,0.0,18.1,RIVER,0.718,6.824,76.5,1.794,24.0,666,20.2,48.45,22.74,8.4
11.0874,0.0,18.1,RIVER,,,100.0,1.8589,,,20.2,318.75,15.02,16.7
7.02259,0.0,18.1,OTHER,,6.006,95.3,,24.0,666,20.2,,15.7,14.2
12.0482,0.0,18.1,OTHER,,5.648,87.6,1.9512,,666,,,14.1,20.8
,0.0,18.1,RIVER,,,,,,666,,2.52,23.29,13.4
8.79212,0.0,18.1,RIVER,,5.565,70.6,2.0635,,666,20.2,3.65,,11.7
15.8603,0.0,18.1,RIVER,0.679,,95.4,1.9096,,666,20.2,,24.39,8.3
,0.0,18.1,OTHER,0.584,5.837,59.7,,,,20.2,,15.69,10.2
37.6619,0.0,18.1,OTHER,0.679,6.202,78.7,,,666,20.2,18.82,14.52,10.9
7.36711,0.0,18.1,OTHER,0.679,6.193,78.1,,24.0,,20.2,96.73,21.52,11.0
9.33889,0.0,18.1,OTHER,0.679,6.38,95.6,1.9682,24.0,666,20.2,,,9.5
8.49213,0.0,18.1,OTHER,0.584,6.348,86.1,2.0527,24.0,666,20.2,83.45,17.64,14.5
10.0623,0.0,18.1,OTHER,,6.833,94.3,2.0882,24.0,666,20.2,,,14.1
6.44405,0.0,18.1,OTHER,,,74.8,2.2004,24.0,666,,,12.03,16.1
,0.0,18.1,OTHER,0.713,6.436,87.9,,24.0,666,20.2,100.19,16.22,14.3
13.9134,0.0,18.1,OTHER,,6.208,95.0,2.2222,,666,20.2,100.63,15.17,11.7
11.1604,0.0,18.1,OTHER,,6.629,94.6,2.1247,24.0,666,20.2,109.85,,13.4
14.4208,0.0,18.1,OTHER,,,93.3,2.0026,,,,27.49,18.05,9.6
15.1772,0.0,18.1,OTHER,,6.152,,1.9142,24.0,666,20.2,9.32,,8.7
13.6781,0.0,18.1,OTHER,0.74,5.935,87.9,,24.0,,,68.95,,8.4
9.39063,0.0,18.1,RIVER,,,93.9,1.8172,24.0,666,20.2,396.9,22.88,12.8
22.0511,0.0,18.1,RIVER,,,,1.8662,,666,20.2,,22.11,10.5
9.72418,0.0,18.1,OTHER,0.74,6.406,97.2,2.0651,24.0,666,20.2,385.96,,17.1
5.66637,0.0,18.1,OTHER,,6.219,,2.0048,24.0,666,,395.69,16.59,18.4
9.96654,0.0,18.1,RIVER,,6.485,100.0,,24.0,,20.2,,18.85,15.4
12.8023,0.0,18.1,RIVER,0.74,,,1.8956,,,20.2,240.52,,10.8
10.6718,0.0,18.1,RIVER,0.74,6.459,94.8,1.9879,,666,,43.06,23.98,11.8
6.28807,0.0,18.1,OTHER,0.74,6.341,96.4,2.072,,,20.2,318.01,,14.9
9.92485,,18.1,RIVER,0.74,6.251,96.6,2.198,,666,20.2,388.52,,12.6
9.32909,0.0,18.1,OTHER,,6.185,,,,,20.2,396.9,18.13,14.1
7.52601,0.0,18.1,OTHER,0.713,6.417,98.3,,24.0,666,20.2,304.21,19.31,13.0
6.71772,0.0,18.1,OTHER,0.713,6.749,92.6,2.3236,24.0,666,20.2,,17.44,13.4
5.44114,0.0,18.1,RIVER,0.713,,98.2,2.3552,,666,20.2,355.29,,15.2
,0.0,18.1,RIVER,0.713,,91.8,2.3682,24.0,666,,385.09,,16.1
,0.0,18.1,OTHER,0.713,,99.3,2.4527,24.0,666,20.2,375.87,,17.8
9.51363,0.0,18.1,OTHER,0.713,,94.1,2.4961,,666,20.2,,18.71,14.9
4.75237,0.0,18.1,OTHER,,6.525,86.5,2.4358,24.0,666,20.2,50.92,18.13,14.1
4.66883,0.0,18.1,OTHER,0.713,5.976,87.9,,24.0,666,,,19.01,12.7
8.20058,0.0,18.1,OTHER,0.713,,,2.7792,24.0,666,,3.5,16.94,13.5
7.75223,0.0,18.1,OTHER,,6.301,83.7,2.7831,,666,20.2,,,14.9
6.80117,0.0,18.1,OTHER,0.713,,84.4,2.7175,24.0,666,20.2,396.9,,20.0
,0.0,18.1,OTHER,,6.701,90.0,,,666,20.2,255.23,16.42,16.4
3.69311,0.0,18.1,RIVER,,,,,,,,391.43,14.65,17.7
6.65492,0.0,18.1,RIVER,0.713,6.317,83.0,2.7344,,,,396.9,,19.5
5.82115,0.0,18.1,RIVER,0.713,6.513,,,24.0,666,20.2,393.82,10.29,20.2
7.83932,0.0,18.1,RIVER,,6.209,65.4,,,666,20.2,396.9,13.22,21.4
3.1636,0.0,18.1,OTHER,0.655,5.759,,3.0665,24.0,666,20.2,,,19.9
3.77498,0.0,18.1,OTHER,0.655,5.952,,,24.0,666,,22.01,17.15,19.0
4.42228,0.0,18.1,RIVER,0.584,,,2.5403,,666,20.2,,21.32,19.1
15.5757,0.0,18.1,OTHER,0.58,5.926,71.0,2.9084,,,20.2,,18.13,19.1
13.0751,0.0,18.1,OTHER,,,,2.8237,24.0,,20.2,,14.76,20.1
4.34879,0.0,18.1,OTHER,,6.167,84.0,3.0334,24.0,,20.2,396.9,16.29,19.9
4.03841,,18.1,OTHER,,6.229,90.7,,,666,20.2,,12.87,19.6
,0.0,18.1,OTHER,0.58,,,2.8965,,666,20.2,393.37,14.36,23.2
4.64689,0.0,18.1,RIVER,0.614,,67.6,2.5329,24.0,,20.2,374.68,11.66,29.8
8.05579,0.0,18.1,OTHER,,5.427,95.4,2.4298,24.0,666,,,18.14,13.8
6.39312,0.0,18.1,OTHER,0.584,,,,24.0,666,,302.76,24.1,13.3
,0.0,18.1,RIVER,0.614,6.484,,2.3053,,666,20.2,396.21,,16.7
15.0234,0.0,18.1,OTHER,0.614,,97.3,,,,20.2,349.48,,12.0
10.233,0.0,18.1,OTHER,0.614,,96.7,2.1705,,,,379.7,18.03,14.6
14.3337,0.0,18.1,RIVER,0.614,6.229,88.0,1.9512,24.0,666,20.2,383.32,,21.4
5.82401,0.0,18.1,OTHER,,,,3.4242,24.0,,,396.9,10.74,23.0
5.70818,0.0,18.1,OTHER,,6.75,74.9,3.3317,24.0,666,20.2,393.07,7.74,23.7
5.73116,0.0,18.1,OTHER,0.532,7.061,,3.4106,,666,,,7.01,25.0
2.81838,0.0,18.1,OTHER,,,40.3,4.0983,24.0,,,392.92,10.42,21.8
2.37857,0.0,18.1,OTHER,0.583,5.871,,3.724,24.0,,20.2,370.73,,20.6
,0.0,18.1,RIVER,,,51.9,3.9917,,666,20.2,388.62,10.58,21.2
5.69175,0.0,18.1,OTHER,0.583,6.114,,,24.0,,20.2,,,19.1
4.83567,0.0,18.1,OTHER,0.583,5.905,,3.1523,24.0,666,,,11.45,20.6
0.15086,0.0,27.74,OTHER,0.609,5.454,92.7,,4.0,711,,395.09,18.06,15.2
0.18337,0.0,27.74,RIVER,0.609,5.414,,1.7554,,711,,,23.97,7.0
0.20746,,27.74,OTHER,,,98.0,1.8226,4.0,711,,318.43,,8.1
0.10574,0.0,27.74,RIVER,,5.983,,,4.0,,20.1,390.11,,13.6
0.11132,0.0,27.74,OTHER,0.609,5.983,83.5,2.1099,,711,20.1,,13.35,20.1
0.17331,0.0,9.69,OTHER,0.585,5.707,54.0,2.3817,6.0,,19.2,,,21.8
0.27957,0.0,9.69,OTHER,,,,2.3817,6.0,391,,,13.59,24.5
0.17899,0.0,9.69,OTHER,0.585,,28.8,2.7986,6.0,391,19.2,393.29,17.6,23.1
,0.0,9.69,OTHER,,5.39,,2.7986,6.0,391,19.2,396.9,21.14,19.7
0.26838,0.0,9.69,RIVER,,5.794,70.6,2.8927,6.0,391,19.2,,14.1,18.3
0.23912,0.0,9.69,OTHER,0.585,6.019,,2.4091,,391,19.2,396.9,12.92,21.2
0.17783,0.0,9.69,OTHER,,,,2.3999,6.0,,,395.77,15.1,17.5
0.22438,0.0,9.69,RIVER,0.585,6.027,,2.4982,6.0,391,19.2,396.9,14.33,16.8
0.06263,0.0,-11.93,OTHER,0.573,6.593,69.1,,,273,,391.99,,22.4
0.04527,0.0,-11.93,RIVER,,6.12,76.7,2.2875,1.0,273,21.0,,9.08,20.6
0.06076,,-11.93,RIVER,0.573,,91.0,,,273,21.0,396.9,5.64,23.9
0.10959,0.0,-11.93,OTHER,,6.794,89.3,,1.0,,,393.45,,22.0
,0.0,-11.93,OTHER,0.573,6.03,80.8,2.505,1.0,,21.0,396.9,7.88,11.9
